Datetime,Open,High,Low,Close,Adj Close,Volume
2024-08-23 09:30:00,125.87000274658205,125.97000122070312,125.52999877929688,125.6051025390625,125.6051025390625,9116047
2024-08-23 09:31:00,125.61000061035156,125.7300033569336,125.22000122070312,125.62000274658205,125.62000274658205,1619948
2024-08-23 09:32:00,125.63999938964844,125.79000091552734,125.4000015258789,125.5199966430664,125.5199966430664,1213367
2024-08-23 09:33:00,125.54000091552734,125.7300033569336,125.3499984741211,125.45999908447266,125.45999908447266,1388527
2024-08-23 09:34:00,125.45999908447266,125.8499984741211,125.41999816894533,125.70500183105467,125.70500183105467,1201631
2024-08-23 09:35:00,125.69499969482422,126.30999755859376,125.65029907226562,126.2699966430664,126.2699966430664,2056858
2024-08-23 09:36:00,126.27989959716795,126.5500030517578,126.20999908447266,126.48049926757812,126.48049926757812,1826326
2024-08-23 09:37:00,126.4800033569336,126.55500030517578,126.1500015258789,126.5199966430664,126.5199966430664,1530240
2024-08-23 09:38:00,126.5250015258789,126.82340240478516,126.38999938964844,126.7699966430664,126.7699966430664,1730986
2024-08-23 09:39:00,126.76129913330078,126.98999786376952,126.560302734375,126.9499969482422,126.9499969482422,1567978
2024-08-23 09:40:00,126.95999908447266,127.22000122070312,126.86019897460938,127.02999877929688,127.02999877929688,2074857
2024-08-23 09:41:00,127.0199966430664,127.0802993774414,126.73999786376952,126.78500366210938,126.78500366210938,1773723
2024-08-23 09:42:00,126.79000091552734,126.8000030517578,126.4499969482422,126.56009674072266,126.56009674072266,1611417
2024-08-23 09:43:00,126.56009674072266,126.63999938964844,126.30999755859376,126.63009643554688,126.63009643554688,1520154
2024-08-23 09:44:00,126.62999725341795,126.72000122070312,126.41999816894533,126.54000091552734,126.54000091552734,937254
2024-08-23 09:45:00,126.54000091552734,126.7699966430664,126.50679779052734,126.66000366210938,126.66000366210938,954021
2024-08-23 09:46:00,126.66000366210938,127.0999984741211,126.62000274658205,127.02010345458984,127.02010345458984,1543749
2024-08-23 09:47:00,127.03990173339844,127.12999725341795,126.8499984741211,127.02999877929688,127.02999877929688,1070176
2024-08-23 09:48:00,127.04000091552734,127.29000091552734,127.02999877929688,127.25499725341795,127.25499725341795,1339570
2024-08-23 09:49:00,127.25499725341795,127.29000091552734,127.08999633789062,127.1999969482422,127.1999969482422,996542
2024-08-23 09:50:00,127.20069885253906,127.4800033569336,127.16999816894533,127.47000122070312,127.47000122070312,1402348
2024-08-23 09:51:00,127.47000122070312,127.54000091552734,127.27999877929688,127.30999755859376,127.30999755859376,1512362
2024-08-23 09:52:00,127.30999755859376,127.37999725341795,126.87999725341795,126.97000122070312,126.97000122070312,1591902
2024-08-23 09:53:00,126.95999908447266,127.18000030517578,126.87999725341795,127.09500122070312,127.09500122070312,873446
2024-08-23 09:54:00,127.08999633789062,127.2699966430664,127.0199966430664,127.12000274658205,127.12000274658205,854177
2024-08-23 09:55:00,127.13999938964844,127.2300033569336,126.91999816894533,127.0500030517578,127.0500030517578,837011
2024-08-23 09:56:00,127.0500030517578,127.06500244140624,126.83000183105467,126.95909881591795,126.95909881591795,807921
2024-08-23 09:57:00,126.96009826660156,126.98500061035156,126.6999969482422,126.88999938964844,126.88999938964844,895006
2024-08-23 09:58:00,126.8864974975586,127.08499908447266,126.80999755859376,126.9801025390625,126.9801025390625,747513
2024-08-23 09:59:00,126.98500061035156,127.41000366210938,126.95999908447266,127.40969848632812,127.40969848632812,1122530
2024-08-23 10:00:00,127.41999816894533,128.11000061035156,127.41999816894533,128.11000061035156,128.11000061035156,3091763
2024-08-23 10:01:00,128.11000061035156,128.39999389648438,128.02000427246094,128.23959350585938,128.23959350585938,1886766
2024-08-23 10:02:00,128.22000122070312,128.85000610351562,128.22000122070312,128.83749389648438,128.83749389648438,2347850
2024-08-23 10:03:00,128.8397979736328,128.86000061035156,128.30999755859375,128.55999755859375,128.55999755859375,1926700
2024-08-23 10:04:00,128.57000732421875,128.5800018310547,128.13999938964844,128.39999389648438,128.39999389648438,1644111
2024-08-23 10:05:00,128.38999938964844,128.4499969482422,127.72000122070312,127.72000122070312,127.72000122070312,1815468
2024-08-23 10:06:00,127.7300033569336,127.95999908447266,127.22000122070312,127.95999908447266,127.95999908447266,2260708
2024-08-23 10:07:00,127.95999908447266,128.38999938964844,127.81009674072266,128.3000030517578,128.3000030517578,1733541
2024-08-23 10:08:00,128.32000732421875,128.64999389648438,128.2301025390625,128.59010314941406,128.59010314941406,1810160
2024-08-23 10:09:00,128.59500122070312,128.75,128.36000061035156,128.6750030517578,128.6750030517578,1530701
2024-08-23 10:10:00,128.6699981689453,129.0,128.5500030517578,128.98500061035156,128.98500061035156,2074040
